normalised_entity,English,Russian,Spanish,Ukrainian,total_mentions
Киево-Печерской,0,1,0,0,1
Киево-Печерская Лавра,0,1,0,0,1
Киева,0,1,0,0,1
Георгий Тихий,0,1,0,0,1
Гаазької,0,0,0,1,1
Зосимы,0,1,0,0,1
Иран,0,1,0,0,1
Зосиме,0,1,0,0,1
Зосима,0,1,0,0,1
МИД Франции,0,1,0,0,1
МИД Украины,0,1,0,0,1
Зеленского,0,1,0,0,1
МОСКВА,0,1,0,0,1
Лаврі,0,0,0,1,1
МИД РФ,0,1,0,0,1
Кущника,0,0,0,1,1
Лавру,0,1,0,0,1
Брюсселе,0,1,0,0,1
Аргументы,0,1,0,0,1
Антонія,0,0,0,1,1
Антоніу Кошта,0,0,0,1,1
Київської,0,0,0,1,1
Комсомольская Правда,0,1,0,0,1
Костянтин Крайній,0,0,0,1,1
Краткий пересказ,0,1,0,0,1
European Pravda,0,0,0,1,1
European Commission,1,0,0,0,1
Також,0,0,0,1,1
Києво-Печерську,0,0,0,1,1
Emmanuel Macron,1,0,0,0,1
Drone,1,0,0,0,1
Dormition Cathedral of the Kyiv Pechersk Lavra –,1,0,0,0,1
"Dormición de Kiev
El",0,0,1,0,1
Dormición de Kiev,0,0,1,0,1
Donbas city,1,0,0,0,1
Europa,0,0,1,0,1
Exteriores de Ucrania,0,0,1,0,1
Dnipropetrovsk,1,0,0,0,1
Dnipró,0,0,1,0,1
РИА Новости,0,1,0,0,1
Православия,0,1,0,0,1
Освітнього холдингу,0,0,0,1,1
Оптину,0,1,0,0,1
Париж,0,1,0,0,1
Палац,0,0,0,1,1
Олександра Довженка,0,0,0,1,1
Олесі Островської-Лютої,0,0,0,1,1
Нотр-Даму,0,0,0,1,1
Національного заповідника,0,0,0,1,1
Мистецькому арсеналі,0,0,0,1,1
Національна,0,0,0,1,1
Министерства иностранных дел Украины,0,1,0,0,1
Epifanio,0,0,1,0,1
Макрон,0,1,0,0,1
Схиархимандриту Зосима,0,1,0,0,1
Старого Арсеналу,0,0,0,1,1
Суми,0,0,0,1,1
Сокур,0,1,0,0,1
Слово,0,1,0,0,1
Севастополя,0,1,0,0,1
Софії Київської,0,0,0,1,1
Свято-Успенскую Николо-Васильевскую обитель,0,1,0,0,1
США,0,1,0,0,1
Руси - «Заповедник»,0,1,0,0,1
